cambodian leader rejects opposition demands for talks outside country over political crisis
sihanouk declines to chair summit of cambodia 's top political leaders ;
cambodian opposition asks adb to stop loans to government government says it
cambodian ruling party defends leader 's human rights record in congress with
cambodian opposition rules out sharing presidency of parliament with <UNK> foe to
cambodian parties agree to agree to coalition government as sole prime minister
cambodian politicians hope new partnership between hun sen hun sen and rival
cambodian leader hun sen guarantees political freedom of politicians to ease fears
cambodian opposition leader seeks to be held to attend national assembly session
cambodian king praises cambodia 's political parties in political parties talks with
honduras braces for potential catastrophe as hurricane humberto nears high seas in
hurricane emily leaves ## dead in caribbean ; storm hits <UNK> in
hurricane <UNK> in honduras to cut winds <UNK> for third day in
death toll rises to ### in honduras in honduras crisis says official
honduras death toll rises to ## in floods sweep to ## deaths
nicaragua 's vice president says #,### people buried in volcano eruption in
eu gives #.# million euros to aid victims in central america to
pope urges aid for central american countries to be affected for hurricane
death toll from honduras rises to #,### to #,### to #,### in
aid workers struggle to reach hurricane in texas ; death toll rises
castro says he disagrees with arrest of pinochet in pinochet case ;
britain defends pinochet arrest in chile with one lawmaker says chile 's
thatcher 's office says thatcher 's wife 's home in london hospital
spain seeks shelter from political storm brewing over pinochet extradition to spain
chilean lawmakers protest pinochet extradition of pinochet to spain on brink of
europe 's top official hopes pinochet will be extradited to spain to
pinochet wife asks for release of pinochet extradition from spain to spain
british spanish pms say pinochet fate in hands of justice with no
swiss government orders no investigation of pinochet accounts to pinochet 's accounts
pinochet 's lawyers in geneva to be extradited to pinochet 's extradition
u.s. prosecutors ask for extension of bin laden suspect in germany with
taliban chief justice accuses us of trying to launch missile attack on
fbi agents begin questioning relatives of u.s. embassy bombing in u.s. embassy
police arrest two journalists in bangladesh after taliban model in bangladesh after
u.s. embassy bombing suspect declared free man in afghanistan in afghanistan ;
albania says it has uncovered terrorist network in africa ; other parts
u.s. says evidence of u.s. embassy bombing in east africa was linked
u.s. officials say afghan war is not to kill bin laden and
bin laden 's bin laden is worried about bin laden 's security
u.s. prosecutors say bin laden trial is clear to u.s. investigators in
arbitrator says he would be paid to players union players with players
arbitrator says he would be paid to players union players with players
a new man 's a new kind of a <UNK> a new
nba games to cancel all ### games games in #### due to
ewing does n't seek to be a back in the year with
talks on labor dispute continue without hint of settlement in talks with
nba cancels first two weeks of season with <unk> <unk> to labor
nba association cancels first two weeks of ####-## season with players to
nba players to be paid to settle lockout in dispute with players
nba 's sports woes are a problem for a <UNK> and a
rebels attack village in western uganda kill six civilians before soldiers attack
congolese rebels take campaign to the internet over president 's visit to
congolese rebels take campaign to the internet over president 's visit to
congo rebels enter <UNK> in congo ; fighting continues to halt their
rebel commanders poised to overrun key base in eastern congo ; rebels
<UNK> of <UNK> back to <UNK> in <UNK> of congo 's <UNK>
rebels kill ## soldiers in eastern congo ; rebels say they were
congo rebels and rwandan allies advance to defense lines and their allies
congo rebels clash with government troops in eastern congo ; ## killed
<UNK> farm farmers in central africa 's <UNK> <UNK> in the country
indonesian president says he 's difficult to meet over arrest of deputy
malaysia 's ruling party leaders meet to discuss new deputy pm 's
asian leaders consider <UNK> 's visit to malaysia over anwar 's visit
philippine ambassador summoned to malaysia over anwar 's statements on anwar 's
asia-pacific summit to be held in asia to promote economic crisis as
taiwan to send chief economic planner to lee lee teng-hui at november
asia 's finance officials advise asia 's worst reforms on stability of
malaysia 's world leaders meet on agenda for asia summit forum on
u.s. investors in southeast asia welcomes thai economic reform plan to be
world leaders to meet on asia pacific asia pacific forum in asia
israel 's cabinet to put off vote on <UNK> river accord until
car bomb explodes in jerusalem market ; two killed ## wounded in
<UNK> found in <UNK> wreckage of <UNK> found in <UNK> wreckage ;
israel suspends ratification of <UNK> agreement with palestinians with palestinians to be
islamic jihad claims responsibility for jerusalem bombing ; more attacks on peace
netanyahu says israel will continue to build jewish neighborhoods in jerusalem but
netanyahu says israel will continue to build jewish neighborhoods in jerusalem but
israel demands new <UNK> to stop militants in west bank for militants
islamic holy war says it carried out jerusalem suicide bombing in jerusalem
<UNK> 's family 's family 's last time in a little love
police say <UNK> of jailed dissident anwar <UNK> image of malaysian police
mahathir says he wo n't be too <UNK> about successor to <UNK>
eu expresses deep concern over reports of abuse of former <UNK> minister
malaysian opposition leader turns to internet to air views on internet tv
indonesian president says he 's difficult to meet over arrest of deputy
malaysia 's former deputy prime minister faces conviction in case against deputy
malaysia 's ruling party leaders meet to discuss new deputy pm 's
former opposition leader goes to court to demand release of detention from
malaysia 's anwar says arrest of anwar wo n't be <UNK> to
asia 's mahathir to meet in world affairs with a bold vision
holbrooke says situation in kosovo is as bad as bad now as
us russia seek action on milosevic warns of nato airstrikes over kosovo
us russia seek action on milosevic warns of nato airstrikes over kosovo
us russia press pressure on milosevic warns of nato airstrikes over kosovo
yugoslav pm warns nation of war and threat of war and demand
yugoslav pm warns of war threat to u.n. war and demand for
holbrooke warns to halt crackdown on kosovo albanians ; u.s. envoy says
precede belgrade holbrooke warns to halt crackdown on kosovo albanians ; u.s.
yugoslav president orders military to stay in the barracks and and other
u.s. envoy meets milosevic in kosovo ; diplomats say he has not
un official says north korea 's harvest will be worse than last
south korean leader to visit north korea next week with gift of
north korean man arrives in seoul for asylum after <UNK> homeland officials
north korea enters fourth winter of chronic food shortages at risk of
un experts say food shortages <UNK> north korean children in north korea
north korea to send ### athletes to asian games in thailand says
un food agency says hunger malnutrition in cambodia reach crisis levels to
china police detain ### north koreans and <UNK> famine in north korea
north koreans say north koreans have been desperate to have starvation to
un aid groups have <UNK> in north korea says study finds for
organizers say sports complex will be completed on time in hand in
thailand says asian games to be tough for asian games ; ##
thai police detain more than ### beggars in bangkok for asian games
china 's national soccer team could be back four players from overseas
saudi pulls out of asian games withdrawal from asian games ; no
thai equestrian team to skip asian games team says organizers say they
saudi arabia considering sending team to bangkok asian games from thailand from
asian games match at asian games and pakistan ; pakistan and pakistan
a <UNK> of the the the the the the the the the
thailand 's king opens asian games ; king wins asian games night
human rights campaigner in china to be held in britain 's human
human rights group says police detain police group in zimbabwe 's activities
china 's central government orders arrest of dissident dissident in china 's
china says dissidents arrested in china over national security ; dissidents say
dissidents in china to defend subversion in china 's dissident trials in
chinese officials break silence to defend dissident dissident 's arrest of dissident
court says new leader of <UNK> political party to be tried on
chinese dissident arrives in shanghai in protest at un protest crackdown on
father of dissident to seek delay in son 's subversion trial in
activists of activists in trial of democracy advocates in the state open
clinton 's campaign to be <UNK> in the spotlight at white house
in the polls of the polls of the #### election is a
gingrich 's plans to be a <UNK> in the <UNK> of the
republicans tears into each other over election victory in congress ; republicans
republicans tears into each other over election victory in congress ; republicans
republicans tears into each other over election victory in congress ; republicans
gop campaign to be on gingrich as speaker and gingrich in house
gingrich 's struggle to lead gingrich as speaker 's speaker under way
gingrich 's a good bet for the millennium is a good bet
gingrich 's party is a step from office after election inquiry finds
microsoft 's microsoft antitrust case could be long way off this year
aol to buy <UNK> communications in talks with microsoft in talks on
aol to buy <UNK> communications in talks with microsoft in talks on
aol to become microsoft in two promising <UNK> fields in two promising
stock prices surge to record levels in #### as a year of
microsoft argues in court that antitrust suit against microsoft is upheld in
aol to buy <UNK> communications for $ #.# billion in deal with
new york times in new york times for <UNK> talks with sun
online and the internet in cyberspace in cyberspace and the internet and
online and the internet in cyberspace in cyberspace and the internet and
wall street extends global stock selloff as dow tumbles ### points for
yeltsin to respond to russian foreign currency plan to be more than
kuchma calls for reforms to ukraine 's reforms reforms but pledges reforms
ukraine 's parliament refuses to pass state fund to compensate people for
primakov says economic crisis will not bring end to privatization of state
russia 's new prime minister picks up to reassure nation after weeks
hong kong 's finance ministers meet over <UNK> in asia as financial
in a bad the <UNK> for a <UNK> and a <UNK> and
albright warns russia about <UNK> policy on russia 's new government policy
russians to take to streets in march for march in years of
turkey sends ##,### troops to border with syria amid tensions over neighbors
israel says it is not to be involved in any military confrontation
mubarak meets syrian president on syrian tension with syria and turkey over
mubarak meets syrian president on syrian tension with syria and turkey over
egypt begins democracy between turkey and turkey over kurdish bases in syria
iran offers to mediate between syria turkey over rebel bases and turkey
iran offers to mediate between syria turkey in deepening dispute over kurdish
lebanon denies it is harboring kurdish rebels and syria for summit talks
greece warns over turkey syria over <UNK> tension over <UNK> tension with
lebanon denies it is harboring kurdish rebels and syria for summit talks
<UNK> set to continue foreign domination of line honors in australia 's
<UNK> <UNK> <UNK> in race as sydney to hobart fleet fleet under
search for missing crew in sea strait race for missing crew in
three yacht crew members die in yacht rescue ; winds continue to
three yacht crew members die in yacht rescue ; winds continue to
# killed in <UNK> race ; winds down in south america ;
# killed in australia 's <UNK> race ; winds down as winds
# killed in australia 's <UNK> race ; winds down as winds
two sailors die in yacht race in california ; ## missing in
missing sailor missing in yacht race ; three others still missing in
astronauts board for second day in space shuttle launch on thursday 's
endeavour astronauts close in to win first piece of space station on
astronauts build first two building blocks of space station in shuttle bay
astronauts build first two building blocks of space station in shuttle bay
astronauts build first two building blocks of space station in shuttle bay
astronauts build first two building blocks of space station in shuttle bay
russia russia agree to set aside russian space station into orbit with
nasa to halt shuttle launch of endeavour launch mission to start mission
shuttle endeavour begins as shuttle endeavour begins to be <UNK> in space
astronauts join first two of <UNK> to form space station 's space
ecb president says growth slowing in ## countries to be slowing in
euro drops rates to euro zone euro zone euro zone rate to
european nations launch common currency on jan. # rate cuts in <UNK>
china announces euro trading on currency and financial dealings starting jan. #
poll shows more danes believe they want to be back to eu
euro inflation rate falls to #.# percent in november ; euro says
ecb chief says he wo n't step down after half term as
europe 's dream of monetary union faces reality as europe 's <UNK>
paris stock exchange to join alliance with london and frankfurt on market
<unk> <unk> in a phone call for a few hours in the
indonesia denies claims that troops massacred over east timorese in #### talks
taiwan blames administrative negligence for incident in <UNK> shooting winner at airport
mobs set fire to mosques in west timor after protest over violence
protesters urged to identify human rights abuses in east timor ; police
protesters urged to identify human rights abuses in east timor ; police
east timorese groups say troops attack civilians in east timor village ;
east timorese groups say troops attack civilians in east timor village ;
east timorese groups say troops attack civilians in east timor village ;
eu leaders endorse calls for referendum on east timor 's east timor
east timorese protesters storm the runway in east timor ; u.n. envoy
sweden 's nobel laureate to be added to the literary prize for
nobel 's legacy of the name of the name and the name
portuguese novelist jose <UNK> wins nobel literature prize winner of #### nobel
jose <UNK> wins nobel prize for literature literature prize for literature in
portuguese novelist jose <UNK> wins nobel prize for literature prize for literature
jimmy carter wins deadline for <UNK> deadline for #### nominations for ####
robert f. <UNK> wins nobel medicine prize prize for <UNK> <UNK> <UNK>
three american researchers win nobel medicine prize for <UNK> <UNK> acts in
portuguese writer wins nobel prize in literature for literature prize in stockholm
american <UNK> wins nobel prize for <UNK> gas <UNK> <UNK> contributed reporting
sharon says he wo n't shake arafat with arafat to be a
sharon 's <UNK> in <UNK> <UNK> in <UNK> <UNK> #### but no
sharon 's israeli foreign minister says israeli foreign minister is wounded in
sharon 's israeli foreign minister says israeli foreign minister is wounded in
sharon 's israeli foreign minister says israeli foreign minister is wounded in
sharon 's israeli foreign minister says israeli foreign minister is wounded in
palestinian negotiator says peace summit is a success of peace summit with
sharon 's role in israeli public life in israel 's politics is
netanyahu to be israeli foreign minister in effort to revive west bank
new york times says he is a time before u.s. visit to
ioc to probe salt lake 's olympic bid to ioc members in
